source_file,source_label,canonical_area,parent_area,level
RawCounts_AllYears.csv,Core,City Center,,neighborhood
RawCounts_AllYears.csv,City Center,City Center,,neighborhood
RawCounts_AllYears.csv,Columbia,Columbia,,neighborhood
RawCounts_AllYears.csv,Cortez,Cortez,,neighborhood
RawCounts_AllYears.csv,East Village,East Village,,neighborhood
RawCounts_AllYears.csv,Gaslamp,Gaslamp,,neighborhood
RawCounts_AllYears.csv,Marina,Marina,,neighborhood
RawCounts_AllYears.csv,Outside Perimeter,Outside Perimeter,,neighborhood
RawCounts_AllYears.csv,North East EV,East Village - North East,East Village,ev_subarea
RawCounts_AllYears.csv,North West EV,East Village - North West,East Village,ev_subarea
RawCounts_AllYears.csv,South East EV,East Village - South East,East Village,ev_subarea
RawCounts_AllYears.csv,South West EV,East Village - South West,East Village,ev_subarea
RawCounts_AllYears.csv,Outreach Area,Outreach Area (legacy),,supplemental
Downtown_BlockGrid / BlockLevel_Counts,East Village,East Village,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,South East Village,East Village,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,City Center,City Center,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Columbia,Columbia,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Cortez,Cortez,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Gaslamp,Gaslamp,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Marina,Marina,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Barrio Logan,Outside Perimeter,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Golden Hill,Outside Perimeter,,block_neighborhood
Downtown_BlockGrid / BlockLevel_Counts,Sherman Heights,Outside Perimeter,,block_neighborhood
BlockMap_Coverage.csv,East Village South,East Village,,block_neighborhood
