block_id,neighborhood_source,area,count_date,report_month,individuals,tents_structures,vehicles
01ST_AV_I-5_SB,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_ASH_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_A_ST,City Center,City Center,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_BEECH_ST,Cortez,Cortez,2018-01-24,2018-01-01,5,0,0
01ST_AV_W_BROADWAY,City Center,City Center,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_B_ST,City Center,City Center,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_CEDAR_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_C_ST,City Center,City Center,2018-01-24,2018-01-01,1,0,0
01ST_AV_W_E_ST,City Center,City Center,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_F_ST,City Center,City Center,2018-01-24,2018-01-01,4,0,0
01ST_AV_W_G_ST,Marina,Marina,2018-01-24,2018-01-01,0,0,0
01ST_AV_W_ISLAND_AV,Marina,Marina,2018-01-24,2018-01-01,1,2,0
01ST_AV_W_MARKET_ST,Marina,Marina,2018-01-24,2018-01-01,0,0,0
02ND_AV_ASH_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
02ND_AV_BEECH_ST,Cortez,Cortez,2018-01-24,2018-01-01,2,0,0
02ND_AV_CEDAR_ST,Cortez,Cortez,2018-01-24,2018-01-01,1,1,0
02ND_AV_C_ST,City Center,City Center,2018-01-24,2018-01-01,1,0,0
02ND_AV_G_ST,Marina,Marina,2018-01-24,2018-01-01,2,0,0
02ND_AV_I-5_SB,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
02ND_AV_ISLAND_AV,Marina,Marina,2018-01-24,2018-01-01,3,0,0
02ND_AV_MARKET_ST,Marina,Marina,2018-01-24,2018-01-01,0,0,0
03RD_AV_ASH_ST,Cortez,Cortez,2018-01-24,2018-01-01,15,0,0
03RD_AV_A_ST,City Center,City Center,2018-01-24,2018-01-01,2,0,0
03RD_AV_BEECH_ST,Cortez,Cortez,2018-01-24,2018-01-01,1,0,0
03RD_AV_CEDAR_ST,Cortez,Cortez,2018-01-24,2018-01-01,1,0,0
03RD_AV_C_ST,City Center,City Center,2018-01-24,2018-01-01,0,0,0
03RD_AV_G_ST,Marina,Marina,2018-01-24,2018-01-01,3,0,0
03RD_AV_I-5_SB,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
03RD_AV_ISLAND_AV,Marina,Marina,2018-01-24,2018-01-01,0,0,0
03RD_AV_J_ST,Marina,Marina,2018-01-24,2018-01-01,6,0,0
03RD_AV_MARKET_ST,Marina,Marina,2018-01-24,2018-01-01,0,0,0
04TH_AV_ASH_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
04TH_AV_A_ST,City Center,City Center,2018-01-24,2018-01-01,4,0,0
04TH_AV_BEECH_ST,Cortez,Cortez,2018-01-24,2018-01-01,1,0,0
04TH_AV_BROADWAY,City Center,City Center,2018-01-24,2018-01-01,8,0,0
04TH_AV_B_ST,City Center,City Center,2018-01-24,2018-01-01,4,0,0
04TH_AV_CEDAR_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
04TH_AV_C_ST,City Center,City Center,2018-01-24,2018-01-01,4,0,0
04TH_AV_G_ST,Marina,Marina,2018-01-24,2018-01-01,3,0,0
04TH_AV_I-5_SB,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
04TH_AV_ISLAND_AV,Marina,Marina,2018-01-24,2018-01-01,0,0,0
04TH_AV_J_ST,Marina,Marina,2018-01-24,2018-01-01,2,0,1
04TH_AV_MARKET_ST,Marina,Marina,2018-01-24,2018-01-01,0,0,0
05TH_AV_ASH_ST,Cortez,Cortez,2018-01-24,2018-01-01,2,1,0
05TH_AV_A_ST,City Center,City Center,2018-01-24,2018-01-01,1,0,0
05TH_AV_BEECH_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
05TH_AV_BROADWAY,Gaslamp,Gaslamp,2018-01-24,2018-01-01,3,0,0
05TH_AV_B_ST,City Center,City Center,2018-01-24,2018-01-01,10,1,0
05TH_AV_CEDAR_ST,Cortez,Cortez,2018-01-24,2018-01-01,0,0,0
05TH_AV_C_ST,City Center,City Center,2018-01-24,2018-01-01,5,0,0
05TH_AV_E_ST,Gaslamp,Gaslamp,2018-01-24,2018-01-01,4,0,0
05TH_AV_F_ST,Gaslamp,Gaslamp,2018-01-24,2018-01-01,1,0,0
05TH_AV_G_ST,Gaslamp,Gaslamp,2018-01-24,2018-01-01,1,0,0
05TH_AV_I-5_SB,Cortez,Cortez,2018-01-24,2018-01-01,1,0,0
05TH_AV_ISLAND_AV,Gaslamp,Gaslamp,2018-01-24,2018-01-01,3,0,0
