date,year,month_num,month,area,area_source_label,area_type,parent_area,component,count,method,tent_multiplier,vehicle_multiplier,fellowship_month,flag
2017-01-01,2017,1,Jan,East Village - North East,North East EV,ev_subarea,East Village,total,110.0,PRE2017,2.0,2.0,False,added_2017_subarea
2017-01-01,2017,1,Jan,East Village - North West,North West EV,ev_subarea,East Village,total,54.0,PRE2017,2.0,2.0,False,added_2017_subarea
2017-01-01,2017,1,Jan,East Village - South East,South East EV,ev_subarea,East Village,total,450.0,PRE2017,2.0,2.0,False,added_2017_subarea
2017-01-01,2017,1,Jan,East Village - South West,South West EV,ev_subarea,East Village,total,15.0,PRE2017,2.0,2.0,False,added_2017_subarea
2017-01-01,2017,1,Jan,City Center,Core,neighborhood,,total,117.0,PRE2017,2.0,2.0,False,
2017-01-01,2017,1,Jan,Columbia,Columbia,neighborhood,,total,36.0,PRE2017,2.0,2.0,False,
2017-01-01,2017,1,Jan,Cortez,Cortez,neighborhood,,total,32.0,PRE2017,2.0,2.0,False,
2017-01-01,2017,1,Jan,East Village,East Village,neighborhood,,total,629.0,PRE2017,2.0,2.0,False,
2017-01-01,2017,1,Jan,Gaslamp,Gaslamp,neighborhood,,total,42.0,PRE2017,2.0,2.0,False,
2017-01-01,2017,1,Jan,Marina,Marina,neighborhood,,total,26.0,PRE2017,2.0,2.0,False,
2017-01-01,2017,1,Jan,Outreach Area (legacy),Outreach Area,supplemental,,total,78.0,PRE2017,2.0,2.0,False,added_2017_outreach
2017-02-01,2017,2,Feb,East Village - North East,North East EV,ev_subarea,East Village,total,103.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-02-01,2017,2,Feb,East Village - North West,North West EV,ev_subarea,East Village,total,81.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-02-01,2017,2,Feb,East Village - South East,South East EV,ev_subarea,East Village,total,457.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-02-01,2017,2,Feb,East Village - South West,South West EV,ev_subarea,East Village,total,22.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-02-01,2017,2,Feb,City Center,Core,neighborhood,,total,168.0,PRE2017,2.0,2.0,True,
2017-02-01,2017,2,Feb,Columbia,Columbia,neighborhood,,total,35.0,PRE2017,2.0,2.0,True,
2017-02-01,2017,2,Feb,Cortez,Cortez,neighborhood,,total,42.0,PRE2017,2.0,2.0,True,
2017-02-01,2017,2,Feb,East Village,East Village,neighborhood,,total,663.0,PRE2017,2.0,2.0,True,
2017-02-01,2017,2,Feb,Gaslamp,Gaslamp,neighborhood,,total,57.0,PRE2017,2.0,2.0,True,
2017-02-01,2017,2,Feb,Marina,Marina,neighborhood,,total,62.0,PRE2017,2.0,2.0,True,
2017-02-01,2017,2,Feb,Outreach Area (legacy),Outreach Area,supplemental,,total,93.0,PRE2017,2.0,2.0,True,added_2017_outreach
2017-03-01,2017,3,Mar,East Village - North East,North East EV,ev_subarea,East Village,total,69.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-03-01,2017,3,Mar,East Village - North West,North West EV,ev_subarea,East Village,total,73.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-03-01,2017,3,Mar,East Village - South East,South East EV,ev_subarea,East Village,total,589.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-03-01,2017,3,Mar,East Village - South West,South West EV,ev_subarea,East Village,total,52.0,PRE2017,2.0,2.0,True,added_2017_subarea
2017-03-01,2017,3,Mar,City Center,Core,neighborhood,,total,169.0,PRE2017,2.0,2.0,True,
2017-03-01,2017,3,Mar,Columbia,Columbia,neighborhood,,total,20.0,PRE2017,2.0,2.0,True,
2017-03-01,2017,3,Mar,Cortez,Cortez,neighborhood,,total,37.0,PRE2017,2.0,2.0,True,
2017-03-01,2017,3,Mar,East Village,East Village,neighborhood,,total,783.0,PRE2017,2.0,2.0,True,
2017-03-01,2017,3,Mar,Gaslamp,Gaslamp,neighborhood,,total,40.0,PRE2017,2.0,2.0,True,
2017-03-01,2017,3,Mar,Marina,Marina,neighborhood,,total,56.0,PRE2017,2.0,2.0,True,
2017-03-01,2017,3,Mar,Outreach Area (legacy),Outreach Area,supplemental,,total,93.0,PRE2017,2.0,2.0,True,added_2017_outreach
2017-04-01,2017,4,Apr,East Village - North East,North East EV,ev_subarea,East Village,total,42.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-04-01,2017,4,Apr,East Village - North West,North West EV,ev_subarea,East Village,total,63.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-04-01,2017,4,Apr,East Village - South East,South East EV,ev_subarea,East Village,total,470.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-04-01,2017,4,Apr,East Village - South West,South West EV,ev_subarea,East Village,total,23.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-04-01,2017,4,Apr,City Center,Core,neighborhood,,total,121.0,APR2017,1.75,1.66,True,
2017-04-01,2017,4,Apr,Columbia,Columbia,neighborhood,,total,46.0,APR2017,1.75,1.66,True,
2017-04-01,2017,4,Apr,Cortez,Cortez,neighborhood,,total,26.0,APR2017,1.75,1.66,True,
2017-04-01,2017,4,Apr,East Village,East Village,neighborhood,,total,598.0,APR2017,1.75,1.66,True,
2017-04-01,2017,4,Apr,Gaslamp,Gaslamp,neighborhood,,total,43.0,APR2017,1.75,1.66,True,
2017-04-01,2017,4,Apr,Marina,Marina,neighborhood,,total,41.0,APR2017,1.75,1.66,True,
2017-04-01,2017,4,Apr,Outreach Area (legacy),Outreach Area,supplemental,,total,70.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-05-01,2017,5,May,East Village - North East,North East EV,ev_subarea,East Village,total,67.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-05-01,2017,5,May,East Village - North West,North West EV,ev_subarea,East Village,total,71.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-05-01,2017,5,May,East Village - South East,South East EV,ev_subarea,East Village,total,383.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-05-01,2017,5,May,East Village - South West,South West EV,ev_subarea,East Village,total,27.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-05-01,2017,5,May,City Center,Core,neighborhood,,total,145.0,APR2017,1.75,1.66,True,
2017-05-01,2017,5,May,Columbia,Columbia,neighborhood,,total,59.0,APR2017,1.75,1.66,True,
2017-05-01,2017,5,May,Cortez,Cortez,neighborhood,,total,49.0,APR2017,1.75,1.66,True,
2017-05-01,2017,5,May,East Village,East Village,neighborhood,,total,548.0,APR2017,1.75,1.66,True,
2017-05-01,2017,5,May,Gaslamp,Gaslamp,neighborhood,,total,49.0,APR2017,1.75,1.66,True,
2017-05-01,2017,5,May,Marina,Marina,neighborhood,,total,42.0,APR2017,1.75,1.66,True,
2017-05-01,2017,5,May,Outreach Area (legacy),Outreach Area,supplemental,,total,101.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-06-01,2017,6,Jun,East Village - North East,North East EV,ev_subarea,East Village,total,78.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-06-01,2017,6,Jun,East Village - North West,North West EV,ev_subarea,East Village,total,96.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-06-01,2017,6,Jun,East Village - South East,South East EV,ev_subarea,East Village,total,585.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-06-01,2017,6,Jun,East Village - South West,South West EV,ev_subarea,East Village,total,22.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-06-01,2017,6,Jun,City Center,Core,neighborhood,,total,173.0,APR2017,1.75,1.66,True,
2017-06-01,2017,6,Jun,Columbia,Columbia,neighborhood,,total,41.0,APR2017,1.75,1.66,True,
2017-06-01,2017,6,Jun,Cortez,Cortez,neighborhood,,total,57.0,APR2017,1.75,1.66,True,
2017-06-01,2017,6,Jun,East Village,East Village,neighborhood,,total,781.0,APR2017,1.75,1.66,True,
2017-06-01,2017,6,Jun,Gaslamp,Gaslamp,neighborhood,,total,54.0,APR2017,1.75,1.66,True,
2017-06-01,2017,6,Jun,Marina,Marina,neighborhood,,total,50.0,APR2017,1.75,1.66,True,
2017-06-01,2017,6,Jun,Outreach Area (legacy),Outreach Area,supplemental,,total,132.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-07-01,2017,7,Jul,East Village - North East,North East EV,ev_subarea,East Village,total,83.0,APR2017,1.75,1.66,False,added_2017_subarea
2017-07-01,2017,7,Jul,East Village - North West,North West EV,ev_subarea,East Village,total,117.0,APR2017,1.75,1.66,False,added_2017_subarea
2017-07-01,2017,7,Jul,East Village - South East,South East EV,ev_subarea,East Village,total,516.0,APR2017,1.75,1.66,False,added_2017_subarea
2017-07-01,2017,7,Jul,East Village - South West,South West EV,ev_subarea,East Village,total,18.0,APR2017,1.75,1.66,False,added_2017_subarea
2017-07-01,2017,7,Jul,City Center,Core,neighborhood,,total,158.0,APR2017,1.75,1.66,False,
2017-07-01,2017,7,Jul,Columbia,Columbia,neighborhood,,total,47.0,APR2017,1.75,1.66,False,
2017-07-01,2017,7,Jul,Cortez,Cortez,neighborhood,,total,64.0,APR2017,1.75,1.66,False,
2017-07-01,2017,7,Jul,East Village,East Village,neighborhood,,total,734.0,APR2017,1.75,1.66,False,
2017-07-01,2017,7,Jul,Gaslamp,Gaslamp,neighborhood,,total,48.0,APR2017,1.75,1.66,False,
2017-07-01,2017,7,Jul,Marina,Marina,neighborhood,,total,49.0,APR2017,1.75,1.66,False,
2017-07-01,2017,7,Jul,Outreach Area (legacy),Outreach Area,supplemental,,total,98.0,APR2017,1.75,1.66,False,added_2017_outreach
2017-08-01,2017,8,Aug,East Village - North East,North East EV,ev_subarea,East Village,total,43.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-08-01,2017,8,Aug,East Village - North West,North West EV,ev_subarea,East Village,total,116.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-08-01,2017,8,Aug,East Village - South East,South East EV,ev_subarea,East Village,total,688.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-08-01,2017,8,Aug,East Village - South West,South West EV,ev_subarea,East Village,total,38.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-08-01,2017,8,Aug,City Center,Core,neighborhood,,total,169.0,APR2017,1.75,1.66,True,
2017-08-01,2017,8,Aug,Columbia,Columbia,neighborhood,,total,70.0,APR2017,1.75,1.66,True,
2017-08-01,2017,8,Aug,Cortez,Cortez,neighborhood,,total,71.0,APR2017,1.75,1.66,True,
2017-08-01,2017,8,Aug,East Village,East Village,neighborhood,,total,885.0,APR2017,1.75,1.66,True,
2017-08-01,2017,8,Aug,Gaslamp,Gaslamp,neighborhood,,total,66.0,APR2017,1.75,1.66,True,
2017-08-01,2017,8,Aug,Marina,Marina,neighborhood,,total,74.0,APR2017,1.75,1.66,True,
2017-08-01,2017,8,Aug,Outreach Area (legacy),Outreach Area,supplemental,,total,124.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-09-01,2017,9,Sep,East Village - North East,North East EV,ev_subarea,East Village,total,118.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-09-01,2017,9,Sep,East Village - North West,North West EV,ev_subarea,East Village,total,89.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-09-01,2017,9,Sep,East Village - South East,South East EV,ev_subarea,East Village,total,523.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-09-01,2017,9,Sep,East Village - South West,South West EV,ev_subarea,East Village,total,38.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-09-01,2017,9,Sep,City Center,Core,neighborhood,,total,195.0,APR2017,1.75,1.66,True,
2017-09-01,2017,9,Sep,Columbia,Columbia,neighborhood,,total,61.0,APR2017,1.75,1.66,True,
2017-09-01,2017,9,Sep,Cortez,Cortez,neighborhood,,total,95.0,APR2017,1.75,1.66,True,
2017-09-01,2017,9,Sep,East Village,East Village,neighborhood,,total,768.0,APR2017,1.75,1.66,True,
2017-09-01,2017,9,Sep,Gaslamp,Gaslamp,neighborhood,,total,85.0,APR2017,1.75,1.66,True,
2017-09-01,2017,9,Sep,Marina,Marina,neighborhood,,total,72.0,APR2017,1.75,1.66,True,
2017-09-01,2017,9,Sep,Outreach Area (legacy),Outreach Area,supplemental,,total,176.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-10-01,2017,10,Oct,East Village - North East,North East EV,ev_subarea,East Village,total,52.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-10-01,2017,10,Oct,East Village - North West,North West EV,ev_subarea,East Village,total,74.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-10-01,2017,10,Oct,East Village - South East,South East EV,ev_subarea,East Village,total,458.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-10-01,2017,10,Oct,East Village - South West,South West EV,ev_subarea,East Village,total,35.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-10-01,2017,10,Oct,City Center,Core,neighborhood,,total,174.0,APR2017,1.75,1.66,True,
2017-10-01,2017,10,Oct,Columbia,Columbia,neighborhood,,total,56.0,APR2017,1.75,1.66,True,
2017-10-01,2017,10,Oct,Cortez,Cortez,neighborhood,,total,78.0,APR2017,1.75,1.66,True,
2017-10-01,2017,10,Oct,East Village,East Village,neighborhood,,total,649.0,APR2017,1.75,1.66,True,
2017-10-01,2017,10,Oct,Gaslamp,Gaslamp,neighborhood,,total,56.0,APR2017,1.75,1.66,True,
2017-10-01,2017,10,Oct,Marina,Marina,neighborhood,,total,79.0,APR2017,1.75,1.66,True,
2017-10-01,2017,10,Oct,Outreach Area (legacy),Outreach Area,supplemental,,total,144.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-11-01,2017,11,Nov,East Village - North East,North East EV,ev_subarea,East Village,total,66.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-11-01,2017,11,Nov,East Village - North West,North West EV,ev_subarea,East Village,total,91.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-11-01,2017,11,Nov,East Village - South East,South East EV,ev_subarea,East Village,total,398.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-11-01,2017,11,Nov,East Village - South West,South West EV,ev_subarea,East Village,total,25.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-11-01,2017,11,Nov,City Center,Core,neighborhood,,total,162.0,APR2017,1.75,1.66,True,
2017-11-01,2017,11,Nov,Columbia,Columbia,neighborhood,,total,49.0,APR2017,1.75,1.66,True,
2017-11-01,2017,11,Nov,Cortez,Cortez,neighborhood,,total,58.0,APR2017,1.75,1.66,True,
2017-11-01,2017,11,Nov,East Village,East Village,neighborhood,,total,580.0,APR2017,1.75,1.66,True,
2017-11-01,2017,11,Nov,Gaslamp,Gaslamp,neighborhood,,total,42.0,APR2017,1.75,1.66,True,
2017-11-01,2017,11,Nov,Marina,Marina,neighborhood,,total,50.0,APR2017,1.75,1.66,True,
2017-11-01,2017,11,Nov,Outreach Area (legacy),Outreach Area,supplemental,,total,135.0,APR2017,1.75,1.66,True,added_2017_outreach
2017-12-01,2017,12,Dec,East Village - North East,North East EV,ev_subarea,East Village,total,57.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-12-01,2017,12,Dec,East Village - North West,North West EV,ev_subarea,East Village,total,128.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-12-01,2017,12,Dec,East Village - South East,South East EV,ev_subarea,East Village,total,429.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-12-01,2017,12,Dec,East Village - South West,South West EV,ev_subarea,East Village,total,50.0,APR2017,1.75,1.66,True,added_2017_subarea
2017-12-01,2017,12,Dec,City Center,Core,neighborhood,,total,147.0,APR2017,1.75,1.66,True,
2017-12-01,2017,12,Dec,Columbia,Columbia,neighborhood,,total,46.0,APR2017,1.75,1.66,True,
2017-12-01,2017,12,Dec,Cortez,Cortez,neighborhood,,total,53.0,APR2017,1.75,1.66,True,
2017-12-01,2017,12,Dec,East Village,East Village,neighborhood,,total,663.0,APR2017,1.75,1.66,True,
2017-12-01,2017,12,Dec,Gaslamp,Gaslamp,neighborhood,,total,55.0,APR2017,1.75,1.66,True,
2017-12-01,2017,12,Dec,Marina,Marina,neighborhood,,total,49.0,APR2017,1.75,1.66,True,
2017-12-01,2017,12,Dec,Outreach Area (legacy),Outreach Area,supplemental,,total,116.0,APR2017,1.75,1.66,True,added_2017_outreach
2018-01-01,2018,1,Jan,East Village - North East,North East EV,ev_subarea,East Village,total,58.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village - North West,North West EV,ev_subarea,East Village,total,67.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village - South East,South East EV,ev_subarea,East Village,total,334.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village - South West,South West EV,ev_subarea,East Village,total,36.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,City Center,Core,neighborhood,,individual,109.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,City Center,Core,neighborhood,,tent,8.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,City Center,Core,neighborhood,,total,123.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,City Center,Core,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Columbia,Columbia,neighborhood,,individual,32.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Columbia,Columbia,neighborhood,,tent,10.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Columbia,Columbia,neighborhood,,total,50.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Columbia,Columbia,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Cortez,Cortez,neighborhood,,individual,56.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Cortez,Cortez,neighborhood,,tent,3.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Cortez,Cortez,neighborhood,,total,61.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Cortez,Cortez,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village,East Village,neighborhood,,individual,326.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village,East Village,neighborhood,,tent,84.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village,East Village,neighborhood,,total,495.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,East Village,East Village,neighborhood,,vehicle,13.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Gaslamp,Gaslamp,neighborhood,,individual,44.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Gaslamp,Gaslamp,neighborhood,,tent,0.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Gaslamp,Gaslamp,neighborhood,,total,44.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Gaslamp,Gaslamp,neighborhood,,vehicle,0.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Marina,Marina,neighborhood,,individual,26.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Marina,Marina,neighborhood,,tent,2.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Marina,Marina,neighborhood,,total,31.0,APR2017,1.75,1.66,True,
2018-01-01,2018,1,Jan,Marina,Marina,neighborhood,,vehicle,1.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village - North East,North East EV,ev_subarea,East Village,total,68.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village - North West,North West EV,ev_subarea,East Village,total,45.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village - South East,South East EV,ev_subarea,East Village,total,361.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,East Village - South West,South West EV,ev_subarea,East Village,total,30.0,APR2017,1.75,1.66,True,
2018-02-01,2018,2,Feb,City Center,Core,neighborhood,,individual,137.0,APR2017,1.75,1.66,True,
