block_id,neighborhood_source,area,lon,lat,st_north,st_east,st_south,st_west
08TH_AV_DATE_ST,Cortez,Cortez,-117.1579578,32.7224837,DATE_ST,08TH_AV,CEDAR_ST,07TH_AV
07TH_AV_CEDAR_ST,Cortez,Cortez,-117.1588533,32.7214614,CEDAR_ST,07TH_AV,BEECH_ST,06TH_AV
07TH_AV_I-5_SB,Cortez,Cortez,-117.1588123,32.7224379,I-5_SB,07TH_AV,CEDAR_ST,06TH_AV
02ND_AV_I-5_SB,Cortez,Cortez,-117.1634219,32.7225051,I-5_SB,02ND_AV,CEDAR_ST,01ST_AV
03RD_AV_CEDAR_ST,Cortez,Cortez,-117.1624937,32.7214529,CEDAR_ST,03RD_AV,BEECH_ST,02ND_AV
03RD_AV_I-5_SB,Cortez,Cortez,-117.1625336,32.7223266,I-5_SB,03RD_AV,CEDAR_ST,02ND_AV
02ND_AV_CEDAR_ST,Cortez,Cortez,-117.1634179,32.7214684,CEDAR_ST,02ND_AV,BEECH_ST,01ST_AV
06TH_AV_CEDAR_ST,Cortez,Cortez,-117.1597531,32.7214606,CEDAR_ST,06TH_AV,BEECH_ST,05TH_AV
06TH_AV_I-5_SB,Cortez,Cortez,-117.1597543,32.722368,I-5_SB,06TH_AV,CEDAR_ST,05TH_AV
05TH_AV_CEDAR_ST,Cortez,Cortez,-117.1606714,32.7214611,CEDAR_ST,05TH_AV,BEECH_ST,04TH_AV
06TH_AV_BEECH_ST,Cortez,Cortez,-117.1597464,32.7204162,BEECH_ST,06TH_AV,ASH_ST,05TH_AV
05TH_AV_BEECH_ST,Cortez,Cortez,-117.1606585,32.7204177,BEECH_ST,05TH_AV,ASH_ST,04TH_AV
04TH_AV_CEDAR_ST,Cortez,Cortez,-117.1615802,32.7214559,CEDAR_ST,04TH_AV,BEECH_ST,03RD_AV
04TH_AV_I-5_SB,Cortez,Cortez,-117.1616025,32.7222703,I-5_SB,04TH_AV,CEDAR_ST,03RD_AV
03RD_AV_BEECH_ST,Cortez,Cortez,-117.1624858,32.7204129,BEECH_ST,03RD_AV,ASH_ST,02ND_AV
02ND_AV_BEECH_ST,Cortez,Cortez,-117.1633936,32.7204076,BEECH_ST,02ND_AV,ASH_ST,01ST_AV
03RD_AV_ASH_ST,Cortez,Cortez,-117.162472,32.7193651,ASH_ST,03RD_AV,A_ST,02ND_AV
07TH_AV_BEECH_ST,Cortez,Cortez,-117.1588194,32.7204099,BEECH_ST,07TH_AV,ASH_ST,06TH_AV
09TH_AV_DATE_ST,Cortez,Cortez,-117.1570188,32.722482,DATE_ST,09TH_AV,CEDAR_ST,08TH_AV
01ST_AV_I-5_SB,Cortez,Cortez,-117.1643142,32.7227731,I-5_SB,01ST_AV,W_CEDAR_ST,FRONT_ST
SR-163_NB_ON_RA_ASH_ST,Cortez,Cortez,-117.1552592,32.7193915,ASH_ST,SR-163_NB_ON_RA,A_ST,10TH_AV
10TH_AV_ASH_ST,Cortez,Cortez,-117.156102,32.7193903,ASH_ST,10TH_AV,A_ST,09TH_AV
05TH_AV_I-5_SB,Cortez,Cortez,-117.1606357,32.7222727,I-5_SB,05TH_AV,CEDAR_ST,04TH_AV
02ND_AV_ASH_ST,Cortez,Cortez,-117.1634028,32.7193655,ASH_ST,02ND_AV,A_ST,01ST_AV
01ST_AV_W_ASH_ST,Cortez,Cortez,-117.1642985,32.7193598,W_ASH_ST,01ST_AV,W_A_ST,FRONT_ST
10TH_AV_DATE_ST,Cortez,Cortez,-117.1561138,32.7224867,DATE_ST,10TH_AV,CEDAR_ST,09TH_AV
10TH_AV_CEDAR_ST,Cortez,Cortez,-117.1561651,32.7214876,CEDAR_ST,10TH_AV,BEECH_ST,09TH_AV
09TH_AV_CEDAR_ST,Cortez,Cortez,-117.1570136,32.7214682,CEDAR_ST,09TH_AV,BEECH_ST,08TH_AV
10TH_AV_BEECH_ST,Cortez,Cortez,-117.1561276,32.7204857,BEECH_ST,10TH_AV,SR-163_SB_OFF_RA,09TH_AV
04TH_AV_BEECH_ST,Cortez,Cortez,-117.1615763,32.7204154,BEECH_ST,04TH_AV,ASH_ST,03RD_AV
04TH_AV_ASH_ST,Cortez,Cortez,-117.1615803,32.719375,ASH_ST,04TH_AV,A_ST,03RD_AV
07TH_AV_ASH_ST,Cortez,Cortez,-117.158832,32.7193765,ASH_ST,07TH_AV,A_ST,06TH_AV
09TH_AV_BEECH_ST,Cortez,Cortez,-117.1570225,32.7204252,BEECH_ST,09TH_AV,ASH_ST,08TH_AV
08TH_AV_BEECH_ST,Cortez,Cortez,-117.1579315,32.7204208,BEECH_ST,08TH_AV,ASH_ST,07TH_AV
PARK_BL_RUSS_BL,City Center,City Center,-117.1542576,32.7191273,RUSS_BL,PARK_BL,A_ST,11TH_AV
05TH_AV_ASH_ST,Cortez,Cortez,-117.1606493,32.7193752,ASH_ST,05TH_AV,A_ST,04TH_AV
