obs_date,neighborhood,signal_type,metric,value,source_id
2012-01-01,,context,prcp_mm,0.0,G_weather
2012-01-01,,context,tmax_c,19.4,G_weather
2012-01-02,,context,prcp_mm,0.0,G_weather
2012-01-02,,context,tmax_c,20.6,G_weather
2012-01-03,,context,prcp_mm,0.0,G_weather
2012-01-03,,context,tmax_c,21.7,G_weather
2012-01-04,,context,prcp_mm,0.0,G_weather
2012-01-04,,context,tmax_c,26.1,G_weather
2012-01-05,,context,prcp_mm,0.0,G_weather
2012-01-05,,context,tmax_c,28.3,G_weather
2012-01-06,,context,prcp_mm,0.0,G_weather
2012-01-06,,context,tmax_c,20.0,G_weather
2012-01-07,,context,prcp_mm,0.0,G_weather
2012-01-07,,context,tmax_c,15.0,G_weather
2012-01-08,,context,prcp_mm,0.0,G_weather
2012-01-08,,context,tmax_c,18.3,G_weather
2012-01-09,,context,prcp_mm,0.0,G_weather
2012-01-09,,context,tmax_c,23.3,G_weather
2012-01-10,,context,prcp_mm,0.0,G_weather
2012-01-10,,context,tmax_c,20.6,G_weather
2012-01-11,,context,prcp_mm,0.0,G_weather
2012-01-11,,context,tmax_c,19.4,G_weather
2012-01-12,,context,prcp_mm,0.0,G_weather
2012-01-12,,context,tmax_c,21.1,G_weather
2012-01-13,,context,prcp_mm,0.0,G_weather
2012-01-13,,context,tmax_c,25.0,G_weather
2012-01-14,,context,prcp_mm,0.0,G_weather
2012-01-14,,context,tmax_c,19.4,G_weather
2012-01-15,,context,prcp_mm,0.5,G_weather
2012-01-15,,context,tmax_c,17.2,G_weather
2012-01-16,,context,prcp_mm,0.5,G_weather
2012-01-16,,context,tmax_c,14.4,G_weather
2012-01-17,,context,prcp_mm,0.0,G_weather
2012-01-17,,context,tmax_c,14.4,G_weather
2012-01-18,,context,prcp_mm,0.0,G_weather
2012-01-18,,context,tmax_c,16.1,G_weather
2012-01-19,,context,prcp_mm,0.0,G_weather
2012-01-19,,context,tmax_c,16.1,G_weather
2012-01-20,,context,prcp_mm,0.0,G_weather
2012-01-20,,context,tmax_c,16.1,G_weather
2012-01-21,,context,prcp_mm,2.3,G_weather
2012-01-21,,context,tmax_c,16.7,G_weather
2012-01-22,,context,prcp_mm,0.0,G_weather
