obs_month,geography,signal_type,metric,value,source_id
2010-01-01,la_jolla,food_access,lila_flag,0.0,I
2010-01-01,la_jolla,food_access,low_access_pop,13098.139783977,I
2010-01-01,la_jolla,food_access,low_access_pop_share,22.283327294959168,I
2010-01-01,la_jolla,food_access,low_income_low_access_pop,1268.738136681,I
2010-01-01,la_jolla,food_access,pop_total,58780.0,I
2010-01-01,tract_06073008006,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008006,food_access,low_access_pop,0.0,I
2010-01-01,tract_06073008006,food_access,low_access_pop_share,0.0,I
2010-01-01,tract_06073008006,food_access,low_income_low_access_pop,0.0,I
2010-01-01,tract_06073008006,food_access,pop_total,3805.0,I
2010-01-01,tract_06073008101,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008101,food_access,low_access_pop,47.72578418,I
2010-01-01,tract_06073008101,food_access,low_access_pop_share,1.190466,I
2010-01-01,tract_06073008101,food_access,low_income_low_access_pop,2.874250434,I
2010-01-01,tract_06073008101,food_access,pop_total,4009.0,I
2010-01-01,tract_06073008102,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008102,food_access,low_access_pop,1232.811195,I
2010-01-01,tract_06073008102,food_access,low_access_pop_share,36.312554,I
2010-01-01,tract_06073008102,food_access,low_income_low_access_pop,136.2776288,I
2010-01-01,tract_06073008102,food_access,pop_total,3395.0,I
2010-01-01,tract_06073008200,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008200,food_access,low_access_pop,0.0,I
2010-01-01,tract_06073008200,food_access,low_access_pop_share,0.0,I
2010-01-01,tract_06073008200,food_access,low_income_low_access_pop,0.0,I
2010-01-01,tract_06073008200,food_access,pop_total,3022.0,I
2010-01-01,tract_06073008301,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008301,food_access,low_access_pop,2468.346162,I
2010-01-01,tract_06073008301,food_access,low_access_pop_share,79.77848,I
2010-01-01,tract_06073008301,food_access,low_income_low_access_pop,326.0254004,I
2010-01-01,tract_06073008301,food_access,pop_total,3094.0,I
2010-01-01,tract_06073008303,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008303,food_access,low_access_pop,1757.160032,I
2010-01-01,tract_06073008303,food_access,low_access_pop_share,50.991295,I
2010-01-01,tract_06073008303,food_access,low_income_low_access_pop,149.3383747,I
2010-01-01,tract_06073008303,food_access,pop_total,3446.0,I
2010-01-01,tract_06073008305,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008305,food_access,low_access_pop,71.31973577,I
2010-01-01,tract_06073008305,food_access,low_access_pop_share,0.680402,I
2010-01-01,tract_06073008305,food_access,low_income_low_access_pop,43.43500137,I
2010-01-01,tract_06073008305,food_access,pop_total,10482.0,I
2010-01-01,tract_06073008310,food_access,lila_flag,0.0,I
