obs_month,neighborhood,metric,value
2026-09-01,city_center,gid_requests_forecast,158.1
2026-10-01,city_center,gid_requests_forecast,143.1
2026-11-01,city_center,gid_requests_forecast,146.1
2026-09-01,columbia,gid_requests_forecast,14.6
2026-10-01,columbia,gid_requests_forecast,15.1
2026-11-01,columbia,gid_requests_forecast,17.5
2026-09-01,cortez,gid_requests_forecast,70.9
2026-10-01,cortez,gid_requests_forecast,71.9
2026-11-01,cortez,gid_requests_forecast,77.1
2026-09-01,east_village,gid_requests_forecast,360.2
2026-10-01,east_village,gid_requests_forecast,336.2
2026-11-01,east_village,gid_requests_forecast,344.4
2026-09-01,gaslamp,gid_requests_forecast,24.5
2026-10-01,gaslamp,gid_requests_forecast,25.5
2026-11-01,gaslamp,gid_requests_forecast,29.6
2026-09-01,marina,gid_requests_forecast,32.7
2026-10-01,marina,gid_requests_forecast,31.5
2026-11-01,marina,gid_requests_forecast,35.8
