obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2014-01-01,cortez,observation,observed_individuals,55.0,false,A
2014-01-01,cortez,observation,observed_total_units,55.0,false,A
2014-01-01,east_village,observation,observed_individuals,333.0,false,A
2014-01-01,east_village,observation,observed_total_units,333.0,false,A
2014-01-01,gaslamp,observation,observed_individuals,18.0,false,A
2014-01-01,gaslamp,observation,observed_total_units,18.0,false,A
2014-01-01,marina,observation,observed_individuals,24.0,false,A
2014-01-01,marina,observation,observed_total_units,24.0,false,A
2014-02-01,core,observation,observed_individuals,159.0,false,A
2014-02-01,core,observation,observed_total_units,159.0,false,A
2014-02-01,cortez,observation,observed_individuals,56.0,false,A
2014-02-01,cortez,observation,observed_total_units,56.0,false,A
2014-02-01,east_village,observation,observed_individuals,302.0,false,A
2014-02-01,east_village,observation,observed_total_units,302.0,false,A
2014-02-01,marina,observation,observed_individuals,19.0,false,A
2014-02-01,marina,observation,observed_total_units,19.0,false,A
2014-03-01,core,observation,observed_individuals,166.0,false,A
2014-03-01,core,observation,observed_total_units,166.0,false,A
2014-03-01,cortez,observation,observed_individuals,39.0,false,A
2014-03-01,cortez,observation,observed_total_units,39.0,false,A
2014-03-01,east_village,observation,observed_individuals,376.0,false,A
2014-03-01,east_village,observation,observed_total_units,376.0,false,A
2014-03-01,gaslamp,observation,observed_individuals,29.0,false,A
2014-03-01,gaslamp,observation,observed_total_units,29.0,false,A
2014-03-01,marina,observation,observed_individuals,23.0,false,A
2014-03-01,marina,observation,observed_total_units,23.0,false,A
2014-04-01,core,observation,observed_individuals,143.0,false,A
2014-04-01,core,observation,observed_total_units,143.0,false,A
2014-04-01,cortez,observation,observed_individuals,40.0,false,A
2014-04-01,cortez,observation,observed_total_units,40.0,false,A
2014-04-01,east_village,observation,observed_individuals,366.0,false,A
2014-04-01,east_village,observation,observed_total_units,366.0,false,A
2014-04-01,gaslamp,observation,observed_individuals,18.0,false,A
2014-04-01,gaslamp,observation,observed_total_units,18.0,false,A
2014-04-01,marina,observation,observed_individuals,15.0,false,A
2014-04-01,marina,observation,observed_total_units,15.0,false,A
2014-05-01,core,observation,observed_individuals,126.0,false,A
2014-05-01,core,observation,observed_total_units,126.0,false,A
