horizon,model_mae,seasonal_naive_mae,last_value_mae,n
1,29.399070305885303,63.25,28.14583333333333,144
2,33.02581623882318,63.826388888888886,32.19444444444444,144
3,37.19641272092352,63.104166666666664,36.38194444444446,144
4,39.229959160032244,62.34027777777778,41.24999999999999,144
5,38.071163018362014,59.736111111111114,39.80555555555556,144
6,38.69148698475797,59.604166666666664,44.59722222222222,144
7,38.50763922696151,59.289855072463766,46.98550724637681,138
8,36.43489727911215,60.31818181818182,50.59090909090909,132
9,34.7012471370147,59.378787878787875,51.128787878787875,132
10,32.650404709506596,60.0079365079365,55.73809523809524,126
11,32.98743755333498,61.73333333333333,59.74999999999999,120
12,31.041174625610438,58.224999999999994,58.224999999999994,120
