obs_date,neighborhood,signal_type,metric,value,source_id
2021-01-01,city_center,activity_proxy,paid_sessions,214.0,J
2021-01-01,city_center,activity_proxy,parking_meters_reporting,103.0,J
2021-01-01,city_center,activity_proxy,parking_revenue_usd,230.3,J
2021-01-01,columbia,activity_proxy,paid_sessions,75.0,J
2021-01-01,columbia,activity_proxy,parking_meters_reporting,38.0,J
2021-01-01,columbia,activity_proxy,parking_revenue_usd,118.85,J
2021-01-01,cortez,activity_proxy,paid_sessions,135.0,J
2021-01-01,cortez,activity_proxy,parking_meters_reporting,70.0,J
2021-01-01,cortez,activity_proxy,parking_revenue_usd,123.55000000000001,J
2021-01-01,east_village,activity_proxy,paid_sessions,513.0,J
2021-01-01,east_village,activity_proxy,parking_meters_reporting,235.0,J
2021-01-01,east_village,activity_proxy,parking_revenue_usd,771.6099999999999,J
2021-01-01,gaslamp,activity_proxy,paid_sessions,428.0,J
2021-01-01,gaslamp,activity_proxy,parking_meters_reporting,138.0,J
2021-01-01,gaslamp,activity_proxy,parking_revenue_usd,524.94,J
2021-01-01,marina,activity_proxy,paid_sessions,343.0,J
2021-01-01,marina,activity_proxy,parking_meters_reporting,102.0,J
2021-01-01,marina,activity_proxy,parking_revenue_usd,585.25,J
2021-01-02,city_center,activity_proxy,paid_sessions,777.0,J
2021-01-02,city_center,activity_proxy,parking_meters_reporting,210.0,J
2021-01-02,city_center,activity_proxy,parking_revenue_usd,969.0,J
2021-01-02,columbia,activity_proxy,paid_sessions,375.0,J
2021-01-02,columbia,activity_proxy,parking_meters_reporting,83.0,J
2021-01-02,columbia,activity_proxy,parking_revenue_usd,565.8999999999999,J
2021-01-02,cortez,activity_proxy,paid_sessions,535.0,J
2021-01-02,cortez,activity_proxy,parking_meters_reporting,199.0,J
2021-01-02,cortez,activity_proxy,parking_revenue_usd,565.71,J
2021-01-02,east_village,activity_proxy,paid_sessions,1544.0,J
2021-01-02,east_village,activity_proxy,parking_meters_reporting,451.0,J
2021-01-02,east_village,activity_proxy,parking_revenue_usd,2352.9900000000002,J
2021-01-02,gaslamp,activity_proxy,paid_sessions,799.0,J
2021-01-02,gaslamp,activity_proxy,parking_meters_reporting,175.0,J
2021-01-02,gaslamp,activity_proxy,parking_revenue_usd,1012.1400000000002,J
2021-01-02,marina,activity_proxy,paid_sessions,826.0,J
2021-01-02,marina,activity_proxy,parking_meters_reporting,160.0,J
2021-01-02,marina,activity_proxy,parking_revenue_usd,1603.44,J
2021-01-03,city_center,activity_proxy,paid_sessions,16.0,J
2021-01-03,city_center,activity_proxy,parking_meters_reporting,10.0,J
2021-01-03,city_center,activity_proxy,parking_revenue_usd,4.6,J
2021-01-03,columbia,activity_proxy,paid_sessions,9.0,J
2021-01-03,columbia,activity_proxy,parking_meters_reporting,6.0,J
2021-01-03,columbia,activity_proxy,parking_revenue_usd,3.85,J
2021-01-03,cortez,activity_proxy,paid_sessions,17.0,J
2021-01-03,cortez,activity_proxy,parking_meters_reporting,11.0,J
2021-01-03,cortez,activity_proxy,parking_revenue_usd,5.0,J
2021-01-03,east_village,activity_proxy,paid_sessions,35.0,J
2021-01-03,east_village,activity_proxy,parking_meters_reporting,23.0,J
2021-01-03,east_village,activity_proxy,parking_revenue_usd,11.25,J
2021-01-03,gaslamp,activity_proxy,paid_sessions,26.0,J
2021-01-03,gaslamp,activity_proxy,parking_meters_reporting,17.0,J
2021-01-03,gaslamp,activity_proxy,parking_revenue_usd,10.05,J
2021-01-03,marina,activity_proxy,paid_sessions,4.0,J
2021-01-03,marina,activity_proxy,parking_meters_reporting,3.0,J
2021-01-03,marina,activity_proxy,parking_revenue_usd,0.9,J
2021-01-04,city_center,activity_proxy,paid_sessions,600.0,J
2021-01-04,city_center,activity_proxy,parking_meters_reporting,205.0,J
2021-01-04,city_center,activity_proxy,parking_revenue_usd,669.1999999999999,J
2021-01-04,columbia,activity_proxy,paid_sessions,287.0,J
2021-01-04,columbia,activity_proxy,parking_meters_reporting,77.0,J
2021-01-04,columbia,activity_proxy,parking_revenue_usd,390.29999999999995,J
2021-01-04,cortez,activity_proxy,paid_sessions,610.0,J
2021-01-04,cortez,activity_proxy,parking_meters_reporting,225.0,J
2021-01-04,cortez,activity_proxy,parking_revenue_usd,644.8500000000001,J
2021-01-04,east_village,activity_proxy,paid_sessions,1267.0,J
2021-01-04,east_village,activity_proxy,parking_meters_reporting,536.0,J
2021-01-04,east_village,activity_proxy,parking_revenue_usd,1895.81,J
2021-01-04,gaslamp,activity_proxy,paid_sessions,374.0,J
2021-01-04,gaslamp,activity_proxy,parking_meters_reporting,148.0,J
2021-01-04,gaslamp,activity_proxy,parking_revenue_usd,445.66999999999996,J
2021-01-04,marina,activity_proxy,paid_sessions,514.0,J
2021-01-04,marina,activity_proxy,parking_meters_reporting,152.0,J
2021-01-04,marina,activity_proxy,parking_revenue_usd,1134.76,J
2021-01-05,columbia,activity_proxy,paid_sessions,2.0,J
2021-01-05,columbia,activity_proxy,parking_meters_reporting,2.0,J
2021-01-05,columbia,activity_proxy,parking_revenue_usd,5.0,J
2021-01-05,cortez,activity_proxy,paid_sessions,9.0,J
2021-01-05,cortez,activity_proxy,parking_meters_reporting,7.0,J
2021-01-05,cortez,activity_proxy,parking_revenue_usd,12.299999999999999,J
