record_type,obs_month,program,site,beds,occupancy_pct,source_url,note
site_roster,2026-08-01,Alpha Project for the Homeless,16th Street and Newton Avenue,276,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"City/SDHC shelter roster page: '276 beds (adults 18+)'; page carries no as-of date, treated as current at fetch time"
site_roster,2026-08-01,Alpha Project for the Homeless,17th Street and Imperial Avenue,140,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'140 beds (adults 18+)'"
site_roster,2026-08-01,Mental Health Systems/TURN Behavioral Health Services,Alcohol Use Disorder (AUD) Shelter,56,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'56 beds (adults 18+)'"
site_roster,2026-08-01,People Assisting the Homeless (PATH),Connections Housing,70,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'70 beds (adults 18+)'"
site_roster,2026-08-01,Alpha Project for the Homeless,Family Interim Shelter,42,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'42 units (families with children)' - non-congregate, units not beds; recorded as-is"
site_roster,2026-08-01,The Salvation Army,Haven Interim Housing,25,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'18 units (families) + 7 beds (women 18+)' - two subprograms at one site, summed"
site_roster,2026-08-01,Alpha Project for the Homeless/County of San Diego,Integrated Care Shelter,44,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'44 beds (adults 18+ with substance use/co-occurring conditions)'"
site_roster,2026-08-01,Father Joe's Villages,JKC Interim Shelter for Women,28,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'28 beds (women 18+)'"
site_roster,2026-08-01,Catholic Charities Diocese of San Diego,Rachel's Promise,50,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'50 beds (women 18+)'"
site_roster,2026-08-01,The San Diego LGBT Community Center,SafeSTAY Wellness Center Shelter,43,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'43 beds (TAY 18-24, LGBTQ-affirming)'"
site_roster,2026-08-01,Father Joe's Villages,Single Adults Interim Shelter Program,112,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'112 beds (adults 18+)'"
site_roster,2026-08-01,San Diego Youth Services (SDYS),Storefront Youth Emergency Shelter,15,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'15 beds (youth 12-17)'"
site_roster,2026-08-01,Urban Street Angels (USA),TAY Emergency Shelter,52,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'52 beds (TAY 18-24)'"
site_roster,2026-08-01,Veterans Village of San Diego (VVSD),Veterans Shelter,40,,https://sdhc.org/homelessness-solutions/city-homeless-shelters-services/,"'40 beds (Veterans 18+)'"
category_occupancy,2026-04-01,Single Adult Shelters,,,98,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"SDHC At-A-Glance 'June 30, 2026 Update', Average Monthly Bed Occupancy Rate - Last Three Months chart: Single Adult Shelters Apr 2026 = 98%"
category_occupancy,2026-05-01,Single Adult Shelters,,,99,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Single Adult Shelters May 2026 = 99%"
category_occupancy,2026-06-01,Single Adult Shelters,,,99,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Single Adult Shelters Jun 2026 = 99%"
category_occupancy,2026-04-01,Family Shelter,,,96,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Family Shelter Apr 2026 = 96%. SDHC reports family shelter occupancy by occupied units, not beds (non-congregate)"
category_occupancy,2026-05-01,Family Shelter,,,95,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Family Shelter May 2026 = 95%"
category_occupancy,2026-06-01,Family Shelter,,,93,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Family Shelter Jun 2026 = 93%"
category_occupancy,2026-04-01,Youth Shelter,,,93,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Youth Shelter Apr 2026 = 93%"
category_occupancy,2026-05-01,Youth Shelter,,,92,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Youth Shelter May 2026 = 92%"
category_occupancy,2026-06-01,Youth Shelter,,,87,https://sdhc.org/wp-content/uploads/2022/12/SDHC-at-a-glance-homelessness-solutions.pdf,"same chart: Youth Shelter Jun 2026 = 87%. Note: referrals to the Unaccompanied Minor Shelter Program were suspended effective Jun 12 2026 pending remediation, depressing Youth Shelter occupancy that month"
