vio_code,code_category,interpretation,fine_schedule_note,source_url
86.0139(A),oversize_vehicle,"SDMC 86.0139(A) oversized/non-motorized/RV parking prohibition - proxy for vehicle dwelling/vehicle-as-shelter","$171.50 (incl. $11 CA surcharge); late fee1 $160.50, late fee2 $10.00 per current schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
SDMC 86.0139(A),oversize_vehicle,"Same code as 86.0139(A); 'SDMC '-prefix formatting variant used in 2025+ citation files","$171.50 (incl. $11 CA surcharge); same underlying code as 86.0139(A) per current schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0139(A)_W,oversize_vehicle,"Warning-issued variant of 86.0139(A) (oversized/RV prohibition) - officer gave a warning, no monetary citation","Not in fine schedule - warnings carry no fine by definition",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0138(A),oversize_vehicle,"Older/superseded SDMC oversized-vehicle code used 2014-2015, prior to renumbering to 86.0139(A)","Not listed in current fine schedule (retired/renumbered code)",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0138(A)_W,oversize_vehicle,"Warning-issued variant of the older 86.0138(A) oversized-vehicle code (2014-2015)","Not listed in current fine schedule (warning; retired code)",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0137(G) SDMC,72_hour,"CVC/SDMC 72-hour parking limit violation (vehicle not moved 1/10 mile in 72 hours) - proxy for stationary/lived-in vehicles","$76.50 (incl. $11 CA surcharge); late fee1 $65.50, late fee2 $10.00 per current schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
SDMC 86.0137(G),72_hour,"Same code as 86.0137(G) SDMC; 'SDMC '-prefix formatting variant used in 2025+ citation files","$76.50 (incl. $11 CA surcharge); same underlying code per current schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0118 SDMC,72_hour,"Older SDMC 72-hour-limit code (predecessor/parallel to 86.0137(G)), still listed separately in the current fine schedule","$76.50 (incl. $11 CA surcharge); late fee1 $65.50, late fee2 $10.00 per current schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.23(G) SDMC,72_hour,"Pre-2017 municipal-code numbering for the 72-hour violation, renumbered to 86.0137(G) after a municipal code reorganization","Not listed in current fine schedule (retired numbering scheme)",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0137(g) SDMC,72_hour,"Lowercase-letter formatting/data-entry variant of 86.0137(G) SDMC - same underlying violation","$76.50 (incl. $11 CA surcharge); same underlying code as 86.0137(G) per current schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
UPD 8.16(E),72_hour,"Uptown Parking District 72-hour limitation code - non-SDMC municipal parking-district code series, same underlying behavior (vehicle not moved)","Not in city fine schedule - separate parking-district code, not covered by the SDMC/CVC citywide schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
8.16(E) UPD,72_hour,"Word-order formatting variant of UPD 8.16(E) (Uptown Parking District 72-hour limitation)","Not in city fine schedule - separate parking-district code, not covered by the SDMC/CVC citywide schedule",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0137(F) SDMC,habitation_adjacent,"'Living in vehicle parked on street' - the SDMC code most directly proxying vehicle habitation; used 2014-2018 citation records","Not listed in the current fine schedule - code appears to have been repealed/removed after ~2018",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.23(F) SDMC,habitation_adjacent,"Pre-2017 municipal-code numbering variant of the 'living in vehicle parked on street' code","Not listed in current fine schedule (retired numbering scheme; also repealed code)",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
86.0137(f) SDMC,habitation_adjacent,"Lowercase-letter formatting/data-entry variant of 86.0137(F) SDMC - same underlying violation","Not listed in current fine schedule (repealed code)",https://www.sandiego.gov/sites/default/files/tr_pkg_citation_fine_amts.pdf
